cluster_id,event_label,summary
39,gun | gunman | killed, Students who survived the may 24 shooting at robb elementary in texas are spending the summer with a host of mental health issues . Principal of texas school where shooting happened reinstated . 6 year old girl among 3 family members shot in tent at state park .
40,biden | democrats | joe, sen  joe manchin has floated the broad outlines of a reconfigured social and environment package that aims half its resources at reducing federal deficits . democrats slam manchin for saying he can't vote for biden s build back better plan .
41,barack | day | lady, michelle obama on the challenges she s faced in her marriage to barack obama . there are going to be times    long periods of time when you can't stand each other . michelle says she blames her low grade depression in part on donald trump .
42,birthday | duchess | duke, The duchess of sussex won the latest stage in her privacy lawsuit against the publisher of the mail on sunday . sarah Ferguson knows what princess diana would say about meghan markle  prince harry .
43,california | campaign | democratic, kamala harris gets a big laugh out of another trump run   please. harris is not worried about a possible trump run in 2024 as she speaks up for small businesses at a d c  holiday market .
44,extradition | hong | kong, Protests continue in u s  after deaths of more black men . roughly 150 protesters marched outside an atlanta wendy s restaurant to protest the fatal shooting of rayshard brooks by a white police officer around the world .
45,asylum | court | mexico, Supreme Court hears arguments over  remain in mexico policy for asylum seekers . texas and missouri which sued to keep the program in place said it has helped reduce the flow of people into the u s . number of people trying to cross border increases as u s  plans to lift
46,abortion | huffpost | india, over 350 people described how their abortions allowed them to live the lives they lead today huffpost her stories . Hundreds of law professionals tell their abortion stories ahead of scotus case .
47,conway | donald | george, The president and his former aide received a stark reminder of comments they made in november 2016 fox business host maria bartiromo asks kellyanne conway if husband s war with trump is just shtick .
48,biden | donald | know," trump s latest boast gets brutal fact check from his own niece . mary trump quips that her uncle s lawyers now probably operate out of strip malls . The former president is the least intellectually curious person i ve ever met, she says ."
49,agreement | deal | iran, iran has criticized britain  france and germany for failing to salvage the pact by shielding tehran s economy from sanctions reimposed since 2018 . iran general killed by a u s  airstrike in baghdad as tehran abandoned the remaining limits of its 2015 nuclear
50,alabama | dead | homes, A suspected twister barreled through parts of kansas injuring several people and leaving thousands without power . 4 of 7 killed in iowa tornadoes from same family  sheriff .
51,death | earthquake | indonesia, 7 4 magnitude temblor knocked out power and caused extensive damage to peoples  properties breaking windows and smashing furniture . The quake was the latest in a string of natural disasters to batter japan after typhoons and a record breaking heat wave within the past two months .
52,chris | host | jada, jada pinkett smith says she wants will smith and chris rock to reconcile after oscars slap . The actor said he wasn't comforting smith after he struck chris  rock for joking about him . The incident was addressed several times on Saturday night live .
53,city | mariupol | people," Last stand for mariupol as ukraine seeks to stop complete russian takeover of port city . The city has been largely reduced to rubble since the start of the war . At least 21,000 people have been killed by the russian bombardment and street fighting ."
54,amazon | bolsonaro | brazil, brazil is key to biden s global climate ambitions  the only problem  bolsonaro is the far right authoritarian he promised he d be . He used the first year of his presidency to undermine democracy .
55,andrew | claims | cuomo, andrew cuomo officially steps down after 10 years as new york governor . independent probe found he sexually harassed nearly a dozen women and that he and aides worked to retaliate against an accuser .
56,aide | dying | host, the view  co host slammed any republican backing trump s decision to step aside as turkey prepares to invade syria . sunny hostin has no time for meghan mccain s  gone with the wind lament .
57,black | comments | history, CNN anchor clarifies his on air comments in a video clarifying his on-air comments . donna brazile slams kanye west for repeating bad stereotypes about black people . michael che dismisses kanye's entire slavery narrative with a single word .
58,actor | artist | artwork, jimmy kimmel saddles sen  ted cruz with chilling halloween nicknames . jim carrey paints a morbid picture of donald trump s maga rallies . the president s reckless endangerment tour of pandemic campaign rallies is featured in the cartoon .
59,jong | kim | korea, north korea fires suspected missile into sea off of its eastern coast . It is the most powerful missile it has tested since president joe biden took office . The comments were pyongyang s first official statement of the biden presidency .
60,anderson | claim | cnn, anderson cooper hits trump with a hard truth about how he ll go down in history . donald trump accounts for half the impeachments in the history of the nation . does everyone working for the president have to debase themselves and lie like he does   asked the cnn host
61,biden | children | crackdown, Democrats unveil immigration bill with faster pathway to citizenship . Hundreds of immigrant children packed together some for over a week . New president has undone some of donald trump s efforts to undermine unions .
62,cases | congo | ebola," measles has killed nearly three times as many people in congo than an ebola outbreak in the country that has garnered far more international attention . measles cases surpass 1,000 in u s  amid largest outbreak in 25 years . More than 1 600 people have died since august in what is"
63,biden | forces | invasion, ukrainian forces are claiming new success in their counteroffensive against russian forces in the east . putin falsely portrayed the fighting as a battle against nazism  thereby linking the war to what many russians regard as their finest hour .
64,beto | campaign | care, Beto o rourke slams texas gop s coronavirus response . Former presidential candidate announces new political action committee to help democrats flip the state house .
65,abortion | abortions | ban, republican lawmakers celebrate the end of nationwide abortion rights while blocking federal protections for birth control . The supreme court decision on abortion has scrambled the political dynamics heading into the november elections .
66,campaign | doj | fbi, Watchdog group calls for probe of trump s  weaponization  of justice department . It s not clear yet why the trump administration sought the mcgahns  records . The post roger stone is still a convicted felon .
67,business | dobbs | election, Lou dobbs fumes over the gop s  utter disregard  of trump s  right to loyalty . The trump sycophant demanded to know why republicans don't  just say we re not going to accept the results of this election .
68,boebert | colorado | georgia, marjorie taylor greene's twitter account was permanently suspended after she repeatedly violated twitter's covid 19 misinformation policy . the georgia republican was given the boot after repeatedly violating twitter's policy . The far right lawmaker s tweet drew ridicule from democrats and twitter critics .
69,colbert | donald | host, stephen colbert uses russian stooge  tucker carlson s own words against him . the late show  host mocks the texas senator after marathon budget vote .
70,cohen | daniels | giuliani, Giuliani pleads ignorance on bombshell report that his ukraine contact is a russian spy . Giuliani says he had no idea andrii derkach fed him baseless dirt smearing presidential candidate joe biden .
71,coronavirus | fox | host, Late Night host spots most embarrassing moment yet for trump s failing media site . Fox news supercut from  daily show  exposes network s newest hypocrisy .
72,coronavirus | covid | face,covid 19 cases rise while few school mask mandates return . 16 highly recommended face masks to wear right now .
73,advice | anxiety | control, mental health experts reveal the common pandemic related struggles people discuss in therapy . Here s what to monitor and what to skip as coronavirus restrictions lift .
74,coronavirus | covid | donald, Donald trump jr tested positive for the coronavirus two days after the ohio event barron trump had covid 19 . The president has since tested negative for the virus .
75,biden | children | coronavirus,cdc recommends covid 19 shots for children under 5 . The shots will become available next week  expanding the nation s vaccination campaign to children as young as 6 months .
76,cases | cdc | china, carnival cruise passenger dies of covid 19 after  first trip outside the u s. india coronavirus death toll passes 300 000 . india death toll is the third highest reported in the world .
